fold,repeat,split,train_n,train_positives,validation_n,validation_positives,threshold,AUC,AP,Precision,Recall,F1,TN,FP,FN,TP,FPR
23,5,3,4655,23,1164,6,0.03035818529902429,0.9909326424870466,0.6019529242470962,0.10344827586206896,1.0,0.1875,1106,52,0,6,0.044905008635578586
24,5,4,4655,23,1164,6,0.050921260130645185,0.9956822107081174,0.8011363636363636,0.18181818181818182,1.0,0.3076923076923077,1131,27,0,6,0.023316062176165803
25,5,5,4656,24,1163,5,0.022600499607362788,0.9979274611398964,0.6742424242424242,0.0847457627118644,1.0,0.15625,1104,54,0,5,0.046632124352331605
26,6,1,4655,23,1164,6,0.02526400042662299,0.9880541162924583,0.5333092833092833,0.11320754716981132,1.0,0.2033898305084746,1111,47,0,6,0.04058721934369603
27,6,2,4655,23,1164,6,0.02782011369645777,0.9824409902130109,0.5777879527879527,0.11363636363636363,0.8333333333333334,0.2,1119,39,1,5,0.03367875647668394
28,6,3,4655,23,1164,6,0.02775622701456422,0.9981289579735175,0.712037037037037,0.1,1.0,0.18181818181818182,1104,54,0,6,0.046632124352331605
29,6,4,4655,23,1164,6,0.027711463850610168,0.9952504317789292,0.6067049808429119,0.0967741935483871,1.0,0.17647058823529413,1102,56,0,6,0.04835924006908463
30,6,5,4656,24,1163,5,0.0194756940068823,0.9977547495682211,0.7209090909090909,0.08196721311475409,1.0,0.15151515151515152,1102,56,0,5,0.04835924006908463
31,7,1,4655,23,1164,6,0.028228106062670958,0.9961139896373057,0.7633053221288514,0.10526315789473684,1.0,0.19047619047619047,1107,51,0,6,0.04404145077720207
32,7,2,4655,23,1164,6,0.022704669585192787,0.9897812320092113,0.521074594035065,0.09836065573770492,1.0,0.1791044776119403,1103,55,0,6,0.047495682210708115
33,7,3,4655,23,1164,6,0.027888791109197248,0.993811168681635,0.7224358974358974,0.10714285714285714,1.0,0.1935483870967742,1108,50,0,6,0.04317789291882556
34,7,4,4655,23,1164,6,0.01838067745621332,0.9926597582037997,0.6440483635605586,0.09523809523809523,1.0,0.17391304347826086,1101,57,0,6,0.04922279792746114
35,7,5,4656,24,1163,5,0.02040226845037142,0.9977547495682211,0.7247619047619047,0.08196721311475409,1.0,0.15151515151515152,1102,56,0,5,0.04835924006908463
36,8,1,4655,23,1164,6,0.017000543952956287,0.9975532527345998,0.7128306878306877,0.0967741935483871,1.0,0.17647058823529413,1102,56,0,6,0.04835924006908463
37,8,2,4655,23,1164,6,0.016937527968115113,0.9926597582037997,0.6339572192513369,0.0967741935483871,1.0,0.17647058823529413,1102,56,0,6,0.04835924006908463
38,8,3,4655,23,1164,6,0.029591451773254087,0.9953943580886586,0.5739028944911297,0.0967741935483871,1.0,0.17647058823529413,1102,56,0,6,0.04835924006908463
39,8,4,4655,23,1164,6,0.031855484077322443,0.9824409902130109,0.5973950026581605,0.08928571428571429,0.8333333333333334,0.16129032258064516,1107,51,1,5,0.04404145077720207
40,8,5,4656,24,1163,5,0.02017767473077203,0.9906735751295336,0.4657754010695187,0.08196721311475409,1.0,0.15151515151515152,1102,56,0,5,0.04835924006908463
41,9,1,4655,23,1164,6,0.02406199439179479,0.987910189982729,0.39711902304781566,0.0967741935483871,1.0,0.17647058823529413,1102,56,0,6,0.04835924006908463
42,9,2,4655,23,1164,6,0.025175539008516584,0.9959700633275763,0.8090277777777778,0.1,1.0,0.18181818181818182,1104,54,0,6,0.046632124352331605
43,9,3,4655,23,1164,6,0.01641440647194034,0.9942429476108232,0.6333333333333333,0.0967741935483871,1.0,0.17647058823529413,1102,56,0,6,0.04835924006908463
44,9,4,4655,23,1164,6,0.021867925364209364,0.9932354634427174,0.5297486772486772,0.0967741935483871,1.0,0.17647058823529413,1102,56,0,6,0.04835924006908463
45,9,5,4656,24,1163,5,0.028160089248881474,0.9981001727115717,0.5449999999999999,0.08620689655172414,1.0,0.15873015873015872,1105,53,0,5,0.045768566493955096
46,10,1,4655,23,1164,6,0.0367409604339679,0.9922279792746114,0.7365196078431372,0.12,1.0,0.21428571428571427,1114,44,0,6,0.037996545768566495
47,10,2,4655,23,1164,6,0.02532196672109611,0.9939550949913645,0.6873015873015872,0.10344827586206896,1.0,0.1875,1106,52,0,6,0.044905008635578586
48,10,3,4655,23,1164,6,0.022658773680020654,0.9987046632124352,0.7746031746031746,0.1,1.0,0.18181818181818182,1104,54,0,6,0.046632124352331605
49,10,4,4655,23,1164,6,0.016337116470395534,0.9959700633275762,0.5573529411764706,0.09523809523809523,1.0,0.17391304347826086,1101,57,0,6,0.04922279792746114
50,10,5,4656,24,1163,5,0.02556503180787421,0.9892918825561312,0.37484335839599,0.10416666666666667,1.0,0.18867924528301888,1115,43,0,5,0.037132987910189985
