fold,threshold,val_n,val_positives,auc,ap,precision,recall,f1,tn,fp,fn,tp,observed_fpr
40,0.42748018601536103,363,164,0.9902867998529232,0.989592714345001,0.950920245398773,0.9451219512195121,0.9480122324159022,191,8,9,155,0.04020100502512563
41,0.36270972086491987,364,164,0.9871951219512196,0.9887136340864173,0.9457831325301205,0.9573170731707317,0.9515151515151515,191,9,7,157,0.045
42,0.36843242930269,364,165,0.9876503730775088,0.9886171298811344,0.9467455621301775,0.9696969696969697,0.9580838323353293,190,9,5,160,0.04522613065326633
43,0.4167565481608406,364,165,0.9892492766864627,0.9897156169817979,0.9631901840490797,0.9515151515151515,0.9573170731707317,193,6,8,157,0.03015075376884422
44,0.3578705952234923,364,165,0.9923252626770214,0.9934647357045508,0.9523809523809523,0.9696969696969697,0.960960960960961,191,8,5,160,0.04020100502512563
45,0.36200208750552954,363,164,0.9901642358132123,0.9902922757126291,0.9631901840490797,0.9573170731707317,0.9602446483180428,193,6,7,157,0.03015075376884422
46,0.40080068736831714,364,164,0.9817378048780488,0.9830816068224386,0.950920245398773,0.9451219512195121,0.9480122324159022,192,8,9,155,0.04
47,0.3821148010333179,364,165,0.99704583523679,0.996975756267344,0.9532163742690059,0.9878787878787879,0.9702380952380952,191,8,2,163,0.04020100502512563
48,0.39709048416240306,364,165,0.9914268311253236,0.9918047343393737,0.9464285714285714,0.9636363636363636,0.954954954954955,190,9,6,159,0.04522613065326633
49,0.31947164008981743,364,165,0.9858078270138573,0.9868340722142063,0.9512195121951219,0.9454545454545454,0.9483282674772037,191,8,9,156,0.04020100502512563
50,0.3844221095887285,363,164,0.9917422478244883,0.9924475554277001,0.9580838323353293,0.975609756097561,0.9667673716012085,192,7,4,160,0.035175879396984924
