Model,bin,lower,upper,count,mean_score,empirical_positive_rate,absolute_gap
ExtraTrees,10,0.9,1.0,15,0.9621886844333896,0.9333333333333333,0.028855351100056215
GradientBoosting,1,0.0,0.1,168,0.005066820784632341,0.5476190476190477,0.5425522268344153
GradientBoosting,2,0.1,0.2,0,,,
GradientBoosting,3,0.2,0.30000000000000004,12,0.23320433500889917,1.0,0.7667956649911009
GradientBoosting,4,0.30000000000000004,0.4,2,0.3310893995654714,1.0,0.6689106004345287
GradientBoosting,5,0.4,0.5,1,0.4693397936025797,1.0,0.5306602063974203
GradientBoosting,6,0.5,0.6000000000000001,2,0.5255259554813516,1.0,0.4744740445186484
GradientBoosting,7,0.6000000000000001,0.7000000000000001,2,0.6888735997234626,1.0,0.3111264002765374
GradientBoosting,8,0.7000000000000001,0.8,0,,,
GradientBoosting,9,0.8,0.9,2,0.8538154240214306,1.0,0.14618457597856938
GradientBoosting,10,0.9,1.0,9,0.9690605627735253,0.8888888888888888,0.08017167388463642
HistGradientBoosting,1,0.0,0.1,168,0.0017405896883515713,0.5476190476190477,0.5458784579306961
HistGradientBoosting,2,0.1,0.2,5,0.1527826701079583,1.0,0.8472173298920417
HistGradientBoosting,3,0.2,0.30000000000000004,3,0.2391320300117504,1.0,0.7608679699882496
HistGradientBoosting,4,0.30000000000000004,0.4,0,,,
HistGradientBoosting,5,0.4,0.5,3,0.43909996199138684,1.0,0.5609000380086131
HistGradientBoosting,6,0.5,0.6000000000000001,0,,,
HistGradientBoosting,7,0.6000000000000001,0.7000000000000001,0,,,
HistGradientBoosting,8,0.7000000000000001,0.8,1,0.790085313699839,1.0,0.20991468630016097
HistGradientBoosting,9,0.8,0.9,1,0.8823315502865229,1.0,0.11766844971347712
HistGradientBoosting,10,0.9,1.0,17,0.9781166080308473,0.9411764705882353,0.03694013744261204
MLP,1,0.0,0.1,110,0.00547339212492009,0.41818181818181815,0.41270842605689806
MLP,2,0.1,0.2,6,0.11804366360108054,0.0,0.11804366360108054
MLP,3,0.2,0.30000000000000004,3,0.2428190211455027,0.6666666666666666,0.42384764552116394
MLP,4,0.30000000000000004,0.4,2,0.37789042294025416,1.0,0.6221095770597458
MLP,5,0.4,0.5,3,0.4570796291033427,1.0,0.5429203708966572
MLP,6,0.5,0.6000000000000001,1,0.526650071144104,1.0,0.473349928855896
MLP,7,0.6000000000000001,0.7000000000000001,1,0.6498969197273254,1.0,0.35010308027267456
MLP,8,0.7000000000000001,0.8,1,0.7188315391540527,0.0,0.7188315391540527
MLP,9,0.8,0.9,4,0.8655981123447418,0.75,0.11559811234474182
MLP,10,0.9,1.0,67,0.9847107093725631,0.9402985074626866,0.04441220190987649
LogReg,1,0.0,0.1,118,0.012400304865071226,0.4322033898305085,0.4198030849654373
LogReg,2,0.1,0.2,5,0.15920994291970306,0.6,0.44079005708029695
LogReg,3,0.2,0.30000000000000004,12,0.23894894823576862,0.8333333333333334,0.5943843850975647
LogReg,4,0.30000000000000004,0.4,6,0.3534431829395202,0.6666666666666666,0.3132234837271464
LogReg,5,0.4,0.5,10,0.42281131781983133,1.0,0.5771886821801686
LogReg,6,0.5,0.6000000000000001,3,0.5462430205809049,1.0,0.4537569794190951
LogReg,7,0.6000000000000001,0.7000000000000001,3,0.6558890181764655,1.0,0.3441109818235345
LogReg,8,0.7000000000000001,0.8,12,0.7438386161817001,0.9166666666666666,0.17282805048496652
LogReg,9,0.8,0.9,15,0.8507582660519122,0.9333333333333333,0.08257506728142117
LogReg,10,0.9,1.0,14,0.973113719516986,0.8571428571428571,0.1159708623741289
XGBoost,1,0.0,0.1,81,0.030131732303373196,0.48148148148148145,0.4513497491781083
XGBoost,2,0.1,0.2,17,0.15255646933527547,0.47058823529411764,0.3180317659588422
XGBoost,3,0.2,0.30000000000000004,22,0.2477168081836267,0.6363636363636364,0.3886468281800096
XGBoost,4,0.30000000000000004,0.4,13,0.36296327526752764,0.5384615384615384,0.1754982631940108
XGBoost,5,0.4,0.5,4,0.4412844181060791,0.5,0.0587155818939209
XGBoost,6,0.5,0.6000000000000001,10,0.5304912984371185,0.4,0.13049129843711849
XGBoost,7,0.6000000000000001,0.7000000000000001,5,0.646251106262207,1.0,0.35374889373779295
XGBoost,8,0.7000000000000001,0.8,2,0.7653584480285645,0.5,0.26535844802856445
XGBoost,9,0.8,0.9,22,0.8597797074101188,0.9545454545454546,0.09476574713533581
XGBoost,10,0.9,1.0,22,0.9396632286635312,0.9090909090909091,0.030572319572622186
