Model,Family,Candidate,Fold,AP,Params
MetaRF,RF,6,2,0.4266335877862596,"{""max_depth"":8,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":350}"
MetaRF,RF,6,3,0.09094174036017329,"{""max_depth"":8,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":350}"
MetaRF,RF,6,4,0.47500000000000003,"{""max_depth"":8,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":350}"
MetaRF,RF,7,1,0.5284848484848486,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":200}"
MetaRF,RF,7,2,0.39097503373819165,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":200}"
MetaRF,RF,7,3,0.11801945888311341,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":200}"
MetaRF,RF,7,4,0.45396825396825397,"{""max_depth"":8,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":200}"
MetaRF,RF,8,1,0.5666666666666667,"{""max_depth"":16,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":500}"
MetaRF,RF,8,2,0.5349358974358974,"{""max_depth"":16,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":500}"
MetaRF,RF,8,3,0.14661764705882355,"{""max_depth"":16,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":500}"
MetaRF,RF,8,4,0.5748538011695907,"{""max_depth"":16,""max_features"":""sqrt"",""min_samples_leaf"":1,""n_estimators"":500}"
MetaRF,RF,9,1,0.42512820512820515,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":200}"
MetaRF,RF,9,2,0.4829618443571932,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":200}"
MetaRF,RF,9,3,0.1569139194139194,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":200}"
MetaRF,RF,9,4,0.5166666666666666,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":1,""n_estimators"":200}"
MetaRF,RF,10,1,0.5578160919540229,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
MetaRF,RF,10,2,0.44272374911909795,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
MetaRF,RF,10,3,0.13542582417582416,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
MetaRF,RF,10,4,0.5294802867383512,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":2,""n_estimators"":350}"
MetaRF,RF,11,1,0.5581699346405229,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":500}"
MetaRF,RF,11,2,0.44599567099567095,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":500}"
MetaRF,RF,11,3,0.08955042717640702,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":500}"
MetaRF,RF,11,4,0.5006410256410256,"{""max_depth"":16,""max_features"":0.5,""min_samples_leaf"":4,""n_estimators"":500}"
MetaRF,RF,12,1,0.5527450980392157,"{""max_depth"":16,""max_features"":null,""min_samples_leaf"":2,""n_estimators"":500}"
